TID,OBJECTID,ORGANIZATION,LOCATEID,COLLECADDRES,COLLECCITY,COLLECZIP,COMP_ADDR,FIPSCOUNTY,JURISDNAME,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,TESTDATE,GENUS,SPECIES,U_Trap2,LL_Source,LOGITUDE,LATITUDE,LL_Source0,COLLECSAMPLEID,COLLECDATE,WEEK_NEW,U_id2,Numtests
Y12P03006,201400,IDPH,IDPH112,8700 SOUTH KEDZIE AVE.,EVERGREEN PARK,60805,8700 SOUTH KEDZIE AVE._EVERGREEN PARK_60805,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,27-Jun-12,Culex,PIPIENS/RESTUANS,UTR0768,GISSA,-87.702216,41.735186,IDPH,302,26-Jun-12,26,UTR0768 302,1
Y12P03008,201402,IDPH,IDPH112,8700 SOUTH KEDZIE AVE.,EVERGREEN PARK,60805,8700 SOUTH KEDZIE AVE._EVERGREEN PARK_60805,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,27-Jun-12,Culex,PIPIENS/RESTUANS,UTR0768,GISSA,-87.702216,41.735186,IDPH,303,26-Jun-12,26,UTR0768 303,1
Y12P07654,204821,IDPH,IDPH112,8700 SOUTH KEDZIE AVE.,EVERGREEN PARK,60805,8700 SOUTH KEDZIE AVE._EVERGREEN PARK_60805,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,09-Jul-12,Culex,PIPIENS/RESTUANS,UTR0768,GISSA,-87.702216,41.735186,IDPH,317,28-Jun-12,26,UTR0768 317,1
Y12P07655,204822,IDPH,IDPH112,8700 SOUTH KEDZIE AVE.,EVERGREEN PARK,60805,8700 SOUTH KEDZIE AVE._EVERGREEN PARK_60805,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,09-Jul-12,Culex,PIPIENS/RESTUANS,UTR0768,GISSA,-87.702216,41.735186,IDPH,318,28-Jun-12,26,UTR0768 318,1
Y12P04901,203249,Clarke Mosquito Control,K410,28 W 218 SCHICK RD,BARTLETT,60103,28 W 218 SCHICK RD_BARTLETT_60103,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,5,Female,RAMP WNV,NEGATIVE,0,29-Jun-12,Culex,SP,UTR0926,IDPH,-88.174781,41.951702,IDPH,012-0150,28-Jun-12,26,UTR0926 012-0150,1
Y12P04807,203156,Clarke Mosquito Control,K411,3RD STREET,SAINT CHARLES,60175,3RD STREET_SAINT CHARLES_60175,KANE,KANE COUNTY HEALTH DEPT,GRAVID TRAP,16,Female,RAMP WNV,NEGATIVE,0,29-Jun-12,Culex,SP,UTR0917,GISSA,-88.38381,41.94472,IDPH,012-0157,28-Jun-12,26,UTR0917 012-0157,1
Y12P04907,203255,Clarke Mosquito Control,K434,KANEVILLE RD,GENEVA,60134,KANEVILLE RD_GENEVA_60134,KANE,KANE COUNTY HEALTH DEPT,GRAVID TRAP,49,Female,RAMP WNV,NEGATIVE,0,29-Jun-12,Culex,SP,UTR0874,GISSA,-88.32594,41.88353,IDPH,012-0156,28-Jun-12,26,UTR0874 012-0156,1
Y12P04906,203254,Clarke Mosquito Control,K435,FOX CHASE & HUNTINGTON,SAINT CHARLES,60174,FOX CHASE & HUNTINGTON_SAINT CHARLES_60174,KANE,KANE COUNTY HEALTH DEPT,GRAVID TRAP,6,Female,RAMP WNV,NEGATIVE,0,29-Jun-12,Culex,SP,UTR0907,IDPH,-88.293052,41.926993,IDPH,012-0155,28-Jun-12,26,UTR0907 012-0155,1
Y12P04808,203157,Clarke Mosquito Control,K447,938 1ST STREET,BATAVIA,60510,938 1ST STREET_BATAVIA_60510,KANE,KANE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,29-Jun-12,Culex,SP,UTR0851,IDPH,-88.323672,41.848069,IDPH,012-0158,28-Jun-12,26,UTR0851 012-0158,1
Y12P04809,203158,Clarke Mosquito Control,K447,938 1ST STREET,BATAVIA,60510,938 1ST STREET_BATAVIA_60510,KANE,KANE COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,29-Jun-12,Culex,SP,UTR0851,IDPH,-88.323672,41.848069,IDPH,012-0159,28-Jun-12,26,UTR0851 012-0159,1
Y12P04810,203159,Clarke Mosquito Control,K448,1401 LARKSPUR LANE,BATAVIA,60510,1401 LARKSPUR LANE_BATAVIA_60510,KANE,KANE COUNTY HEALTH DEPT,GRAVID TRAP,44,Female,RAMP WNV,NEGATIVE,0,29-Jun-12,Culex,SP,UTR0839,IDPH,-88.284772,41.831809,IDPH,012-0160,28-Jun-12,26,UTR0839 012-0160,1
Y12P07645,204791,Clarke Mosquito Control,K452,HARRISON ST,GENEVA,60134,HARRISON ST_GENEVA_60134,KANE,KANE COUNTY HEALTH DEPT,GRAVID TRAP,9,Female,RAMP WNV,NEGATIVE,0,29-Jun-12,Culex,SP,UTR0873,IDPH,-88.293025,41.882196,IDPH,012-0161,28-Jun-12,26,UTR0873 012-0161,1
Y12P10511,207993,IDPH,KANE 007,129 DEXTER CT.,ELGIN,60120,129 DEXTER CT._ELGIN_60120,KANE,KANE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,18-Jul-12,Culex,PIPIENS/RESTUANS,UTR1000,IDPH,-88.284439,42.039515,IDPH,408,29-Jun-12,26,UTR1000 408,1
Y12P10512,207994,IDPH,KANE 007,129 DEXTER CT.,ELGIN,60120,129 DEXTER CT._ELGIN_60120,KANE,KANE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,18-Jul-12,Culex,PIPIENS/RESTUANS,UTR1000,IDPH,-88.284439,42.039515,IDPH,409,29-Jun-12,26,UTR1000 409,1
Y12P03016,201410,IDPH,KENDALL03,675 ROUTE 30,OSWEGO,60543,675 ROUTE 30_OSWEGO_60543,KENDALL,KENDALL COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,27-Jun-12,Culex,PIPIENS/RESTUANS,UTR0751,GISSA,-88.278741,41.713731,IDPH,308,26-Jun-12,26,UTR0751 308,1
Y12P03018,201412,IDPH,KENDALL03,675 ROUTE 30,OSWEGO,60543,675 ROUTE 30_OSWEGO_60543,KENDALL,KENDALL COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,27-Jun-12,Culex,PIPIENS/RESTUANS,UTR0751,GISSA,-88.278741,41.713731,IDPH,309,26-Jun-12,26,UTR0751 309,1
Y12P07659,204826,IDPH,KENDALL03,675 ROUTE 30,OSWEGO,60543,675 ROUTE 30_OSWEGO_60543,KENDALL,KENDALL COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,09-Jul-12,Culex,PIPIENS/RESTUANS,UTR0751,GISSA,-88.278741,41.713731,IDPH,322,28-Jun-12,26,UTR0751 322,1
Y12P08119,205060,Northwest MAD,KIRIE,ELMHURST RD AND OAKTON ST,DES PLAINES,60016,ELMHURST RD AND OAKTON ST_DES PLAINES_60016,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,06-Jul-12,Culex,PIPIENS/RESTUANS,UTR0984,IDPH,-87.937216,42.01915,IDPH,208,25-Jun-12,26,UTR0984 208,2
Y12P08121,205061,Northwest MAD,KIRIE,ELMHURST RD AND OAKTON ST,DES PLAINES,60016,ELMHURST RD AND OAKTON ST_DES PLAINES_60016,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,06-Jul-12,Culex,PIPIENS/RESTUANS,UTR0984,IDPH,-87.937216,42.01915,IDPH,209,25-Jun-12,26,UTR0984 209,2
Y12P08123,205062,Northwest MAD,KIRIE,ELMHURST RD AND OAKTON ST,DES PLAINES,60016,ELMHURST RD AND OAKTON ST_DES PLAINES_60016,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,06-Jul-12,Culex,PIPIENS/RESTUANS,UTR0984,IDPH,-87.937216,42.01915,IDPH,210,25-Jun-12,26,UTR0984 210,2
Y12P08126,205063,Northwest MAD,KIRIE,ELMHURST RD AND OAKTON ST,DES PLAINES,60016,ELMHURST RD AND OAKTON ST_DES PLAINES_60016,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,11-Jul-12,Culex,PIPIENS/RESTUANS,UTR0984,IDPH,-87.937216,42.01915,IDPH,211,25-Jun-12,26,UTR0984 211,2
Y12P08129,205064,Northwest MAD,KIRIE,ELMHURST RD AND OAKTON ST,DES PLAINES,60016,ELMHURST RD AND OAKTON ST_DES PLAINES_60016,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,11-Jul-12,Culex,PIPIENS/RESTUANS,UTR0984,IDPH,-87.937216,42.01915,IDPH,212,25-Jun-12,26,UTR0984 212,2
Y12P04827,203176,Clarke Mosquito Control,L300,490 GREENLEAF AVE,VERNON HILLS,60061,490 GREENLEAF AVE_VERNON HILLS_60061,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,20,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1081,GISSA,-87.978452,42.244437,IDPH,012-0178,29-Jun-12,26,UTR1081 012-0178,1
Y12P04895,203243,Clarke Mosquito Control,L307,206 FOSTER KNOLL,LAKE BLUFF,60044,206 FOSTER KNOLL_LAKE BLUFF_60044,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,7,Female,RAMP WNV,NEGATIVE,0,28-Jun-12,Culex,SP,UTR1091,GISSA,-87.86504,42.28472,IDPH,012-0144,27-Jun-12,26,UTR1091 012-0144,1
Y12P04825,203174,Clarke Mosquito Control,L310,SOUTHFORK RD,GURNEE,60031,SOUTHFORK RD_GURNEE_60031,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,4,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1107,GISSA,-87.93654,42.37387,IDPH,012-0176,29-Jun-12,26,UTR1107 012-0176,1
Y12P04892,203240,Clarke Mosquito Control,L326,1150 HALF DAY RD,HIGHLAND PARK,60035,1150 HALF DAY RD_HIGHLAND PARK_60035,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,13,Female,RAMP WNV,NEGATIVE,0,28-Jun-12,Culex,SP,UTR1072,GISSA,-87.826989,42.199765,IDPH,012-0141,27-Jun-12,26,UTR1072 012-0141,1
Y12P04805,203154,Clarke Mosquito Control,L329,50 RAUPP BLVD,BUFFALO GROVE,60089,50 RAUPP BLVD_BUFFALO GROVE_60089,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,12,Female,RAMP WNV,NEGATIVE,0,27-Jun-12,Culex,SP,UTR1052,GISSA,-87.967726,42.152908,IDPH,012-0130,26-Jun-12,26,UTR1052 012-0130,1
Y12P04899,203247,Clarke Mosquito Control,L436,PREBLE AVE & BARRY PL,NORTH CHICAGO,60088,PREBLE AVE & BARRY PL_NORTH CHICAGO_60088,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,8,Female,RAMP WNV,NEGATIVE,0,28-Jun-12,Culex,SP,UTR1099,GISSA,-87.84257,42.31027,IDPH,012-0148,27-Jun-12,26,UTR1099 012-0148,1
Y12P04891,203239,Clarke Mosquito Control,L438,THORNGATE LANE,DEERFIELD,60015,THORNGATE LANE_DEERFIELD_60015,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,32,Female,RAMP WNV,NEGATIVE,0,28-Jun-12,Culex,SP,UTR1058,GISSA,-87.86363,42.16922,IDPH,012-0140,27-Jun-12,26,UTR1058 012-0140,1
Y12P04893,203241,Clarke Mosquito Control,L439,DEER SPRING PARK,DEERFIELD,60015,DEER SPRING PARK_DEERFIELD_60015,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,28-Jun-12,Culex,SP,UTR1056,GISSA,-87.86363,42.16922,IDPH,012-0142,27-Jun-12,26,UTR1056 012-0142,1
Y12P04894,203242,Clarke Mosquito Control,LCFP 13,RIVERWOODS RD & MILL RD,RIVERWOODS,60015,RIVERWOODS RD & MILL RD_RIVERWOODS_60015,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,3,Female,RAMP WNV,NEGATIVE,0,28-Jun-12,Culex,SP,UTR1066,IDPH,-87.906491,42.182227,IDPH,012-0143,27-Jun-12,26,UTR1066 012-0143,1
Y12P07646,204792,Clarke Mosquito Control,LCFP 14,HALF DAY RD,BANNOCKBURN,60015,HALF DAY RD_BANNOCKBURN_60015,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,22,Female,RAMP WNV,NEGATIVE,0,27-Jun-12,Culex,SP,UTR1057,GISSA,-87.86363,42.16922,IDPH,012-0131,26-Jun-12,26,UTR1057 012-0131,1
Y12P04900,203248,Clarke Mosquito Control,LCFP 17,INDEPENDENCE GROVE FOREST PRESERVE,LIBERTYVILLE,60048,INDEPENDENCE GROVE FOREST PRESERVE_LIBERTYVILLE_60048,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,3,Female,RAMP WNV,NEGATIVE,0,28-Jun-12,Culex,SP,UTR1092,GISSA,-87.95174,42.28857,IDPH,012-0149,27-Jun-12,26,UTR1092 012-0149,1
Y12P04898,203246,Clarke Mosquito Control,LCFP 2,OLD SCHOOL FP (ST MARYS RD),LIBERTYVILLE,60048,OLD SCHOOL FP (ST MARYS RD)_LIBERTYVILLE_60048,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,4,Female,RAMP WNV,NEGATIVE,0,28-Jun-12,Culex,SP,UTR1093,GISSA,-87.95174,42.28857,IDPH,012-0147,27-Jun-12,26,UTR1093 012-0147,1
Y12P04813,203162,Clarke Mosquito Control,LCFP 20,CUBA RD & ELA RD,BARRINGTON,60010,CUBA RD & ELA RD_BARRINGTON_60010,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,4,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1063,IDPH,-88.10638,42.175809,IDPH,012-0164,29-Jun-12,26,UTR1063 012-0164,1
Y12P04826,203175,Clarke Mosquito Control,LCFP 3,RTE 120 & ALMOND RD,GRAYSLAKE,60030,RTE 120 & ALMOND RD_GRAYSLAKE_60030,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,4,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1102,IDPH,-87.978432,42.34024,IDPH,012-0177,29-Jun-12,26,UTR1102 012-0177,1
Y12P04821,203170,Clarke Mosquito Control,LCFP 6,MCDONALD WOODS FP,LAKE VILLA,60046,MCDONALD WOODS FP_LAKE VILLA_60046,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,16,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1114,GISSA,-88.06055,42.41257,IDPH,012-0172,29-Jun-12,26,UTR1114 012-0172,1
Y12P04822,203171,Clarke Mosquito Control,LCFP 7,ROLLINS FOREST PRESERVE,LAKE VILLA,60046,ROLLINS FOREST PRESERVE_LAKE VILLA_60046,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1115,GISSA,-88.06055,42.41257,IDPH,012-0173,29-Jun-12,26,UTR1115 012-0173,1
Y12P04818,203167,Clarke Mosquito Control,LCFP 8,GRANT WOODS,INGLESIDE,60041,GRANT WOODS_INGLESIDE_60041,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,6,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1108,GISSA,-88.14942,42.37836,IDPH,012-0169,29-Jun-12,26,UTR1108 012-0169,1
Y12P04896,203244,Clarke Mosquito Control,LCHD A,34TH & GALILEE,ZION,60099,34TH & GALILEE_ZION_60099,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,8,Female,RAMP WNV,NEGATIVE,0,28-Jun-12,Culex,SP,UTR1117,IDPH,-87.845081,42.43321,IDPH,012-0145,27-Jun-12,26,UTR1117 012-0145,1
Y12P04897,203245,Clarke Mosquito Control,LCHD B,MCCLORY TRAIL,ZION,60099,MCCLORY TRAIL_ZION_60099,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,28-Jun-12,Culex,SP,UTR1119,GISSA,-87.84794,42.44982,IDPH,012-0146,27-Jun-12,26,UTR1119 012-0146,1
Y12P04819,203168,Clarke Mosquito Control,LCHD D,22275 MORTON,LAKE VILLA,60046,22275 MORTON_LAKE VILLA_60046,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1112,GISSA,-88.06846,42.40056,IDPH,012-0170,29-Jun-12,26,UTR1112 012-0170,1
Y12P04820,203169,Clarke Mosquito Control,LCHD D,22275 MORTON,LAKE VILLA,60046,22275 MORTON_LAKE VILLA_60046,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,24,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1112,GISSA,-88.06846,42.40056,IDPH,012-0171,29-Jun-12,26,UTR1112 012-0171,1
Y12P04823,203172,Clarke Mosquito Control,LCHD E,WASHINGTON ST. & ALMOND RD.,GURNEE,60031,WASHINGTON ST. & ALMOND RD._GURNEE_60031,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1105,IDPH,-87.97823,42.36404,IDPH,012-0174,29-Jun-12,26,UTR1105 012-0174,1
Y12P04824,203173,Clarke Mosquito Control,LCHD E,WASHINGTON ST. & ALMOND RD.,GURNEE,60031,WASHINGTON ST. & ALMOND RD._GURNEE_60031,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,14,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1105,IDPH,-87.97823,42.36404,IDPH,012-0175,29-Jun-12,26,UTR1105 012-0175,1
Y12P04815,203164,Clarke Mosquito Control,LCHD G,26020 LAKELAND DR,WAUCONDA,60084,26020 LAKELAND DR_WAUCONDA_60084,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,4,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1080,IDPH,-88.157027,42.242282,IDPH,012-0166,29-Jun-12,26,UTR1080 012-0166,1
Y12P04814,203163,Clarke Mosquito Control,LCHD H,RIVER RD & WATER CT.,BARRINGTON,60010,RIVER RD & WATER CT._BARRINGTON_60010,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,3,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1055,GISSA,-88.14516,42.16795,IDPH,012-0165,29-Jun-12,26,UTR1055 012-0165,1
Y12P04828,203177,Clarke Mosquito Control,LCHD J,OLD MCHENRY RD,HAWTHORN WOODS,60047,OLD MCHENRY RD_HAWTHORN WOODS_60047,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,4,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1071,GISSA,-88.06687,42.19949,IDPH,012-0179,29-Jun-12,26,UTR1071 012-0179,1
Y12P04816,203165,Clarke Mosquito Control,LCHD O,SAVANNA RD,WAUCONDA,60084,SAVANNA RD_WAUCONDA_60084,LAKE,LAKE COUNTY HEALTH DEPT,GRAVID TRAP,4,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1087,GISSA,-88.13949,42.2665,IDPH,012-0167,29-Jun-12,26,UTR1087 012-0167,1
Y12P02847,201337,Desplaines Valley MAD,lg,210 S. 8th Ave.,LA GRANGE,60525,210 S. 8th Ave._LA GRANGE_60525,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,40,Female,PCRWNV,NEGATIVE,0,10-Jul-12,Culex,PIPIENS/RESTUANS,UTR0828,IDPH,-87.86581,41.81025,IDPH,dv322,24-Jun-12,26,UTR0828 dv322,2
Y12P05111,203323,Desplaines Valley MAD,lg,210 S. 8th Ave.,LA GRANGE,60525,210 S. 8th Ave._LA GRANGE_60525,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,10-Jul-12,Culex,PIPIENS/RESTUANS,UTR0828,IDPH,-87.86581,41.81025,IDPH,dv354,26-Jun-12,26,UTR0828 dv354,2
Y12P02835,201333,Desplaines Valley MAD,lh,Franklin & 55th Pl.,LA GRANGE HIGHLANDS,60525,Franklin & 55th Pl._LA GRANGE HIGHLANDS_60525,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,10-Jul-12,Culex,PIPIENS/RESTUANS,UTR0808,IDPH,-87.89658,41.78742,IDPH,dv318,24-Jun-12,26,UTR0808 dv318,2
Y12P02838,201334,Desplaines Valley MAD,lh,Franklin & 55th Pl.,LA GRANGE HIGHLANDS,60525,Franklin & 55th Pl._LA GRANGE HIGHLANDS_60525,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,15,Female,PCRWNV,NEGATIVE,0,10-Jul-12,Culex,PIPIENS/RESTUANS,UTR0808,IDPH,-87.89658,41.78742,IDPH,dv319,24-Jun-12,26,UTR0808 dv319,2
Y12P05135,203331,Desplaines Valley MAD,lh,Franklin & 55th Pl.,LA GRANGE HIGHLANDS,60525,Franklin & 55th Pl._LA GRANGE HIGHLANDS_60525,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,10-Jul-12,Culex,PIPIENS/RESTUANS,UTR0808,IDPH,-87.89658,41.78742,IDPH,dv362,27-Jun-12,26,UTR0808 dv362,2
Y12P02850,201338,Desplaines Valley MAD,lp,"FPD NURSERY, OGDEN & WOLF",LA GRANGE PARK,60526,"FPD NURSERY, OGDEN & WOLF_LA GRANGE PARK_60526",COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,10-Jul-12,Culex,PIPIENS/RESTUANS,UTR0834,IDPH,-87.89391,41.82378,IDPH,dv323,24-Jun-12,26,UTR0834 dv323,2
Y12P02853,201339,Desplaines Valley MAD,lp,"FPD NURSERY, OGDEN & WOLF",LA GRANGE PARK,60526,"FPD NURSERY, OGDEN & WOLF_LA GRANGE PARK_60526",COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,15,Female,PCRWNV,NEGATIVE,0,10-Jul-12,Culex,PIPIENS/RESTUANS,UTR0834,IDPH,-87.89391,41.82378,IDPH,dv324,24-Jun-12,26,UTR0834 dv324,2
Y12P05203,203379,FOREST PRESERVE DISTRICT OF DUPAGE COUNTY,LYWN02,31st St. and Highland Ave.,DOWNERS GROVE,60515,31st St. and Highland Ave._DOWNERS GROVE_60515,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,5,Female,RAMP WNV,NEGATIVE,0,29-Jun-12,Culex,SP,UTR0838,GISSA,-88.01095,41.83102,IDPH,62,29-Jun-12,26,UTR0838 62,1
Y12P04811,203160,Clarke Mosquito Control,M400,DARTMOOR,CRYSTAL LAKE,60014,DARTMOOR_CRYSTAL LAKE_60014,MCHENRY,MCHENRY COUNTY HEALTH DEPT,GRAVID TRAP,24,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1074,GISSA,-88.32849,42.22857,IDPH,012-0162,29-Jun-12,26,UTR1074 012-0162,1
Y12P04812,203161,Clarke Mosquito Control,M431,GREENBRIAR LANE,CRYSTAL LAKE,60014,GREENBRIAR LANE_CRYSTAL LAKE_60014,MCHENRY,MCHENRY COUNTY HEALTH DEPT,GRAVID TRAP,42,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1075,GISSA,-88.32849,42.22857,IDPH,012-0163,29-Jun-12,26,UTR1075 012-0163,1
Y12P04817,203166,Clarke Mosquito Control,M449,PROVIDENCE DRIVE,LAKEMOOR,60051,PROVIDENCE DRIVE_LAKEMOOR_60051,MCHENRY,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,9,Female,RAMP WNV,NEGATIVE,0,02-Jul-12,Culex,SP,UTR1104,IDPH,-88.208232,42.348866,IDPH,012-0168,29-Jun-12,26,UTR1104 012-0168,1
Y12P10525,208002,IDPH,MC002,903 E STONE CIRCLE,CRYSTAL LAKE,60039,903 E STONE CIRCLE_CRYSTAL LAKE_60039,MCHENRY,MCHENRY COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,18-Jul-12,Culex,PIPIENS/RESTUANS,UTR1076,GISSA,-88.30969,42.23063,IDPH,411,29-Jun-12,26,UTR1076 411,1
Y12P10513,207995,IDPH,MC006,206 ACORN,LAKE IN THE HILL,60156,206 ACORN_LAKE IN THE HILL_60156,MCHENRY,MCHENRY COUNTY HEALTH DEPT,GRAVID TRAP,46,Female,RAMP WNV,NEGATIVE,0,18-Jul-12,Culex,PIPIENS/RESTUANS,UTR1064,IDPH,-88.323353,42.181757,IDPH,410,29-Jun-12,26,UTR1064 410,1
Y12P05179,203355,FOREST PRESERVE DISTRICT OF DUPAGE COUNTY,MEWN03,Broker Rd. and N. Circle Ave.,BLOOMINGDALE,60108,Broker Rd. and N. Circle Ave._BLOOMINGDALE_60108,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,6,Female,RAMP WNV,NEGATIVE,0,27-Jun-12,Culex,SP,UTR0937,GISSA,-88.07001,41.96281,IDPH,38,27-Jun-12,26,UTR0937 38,1
Y12P05202,203378,FOREST PRESERVE DISTRICT OF DUPAGE COUNTY,MLWN01,31st Street and IL Rte. 83,OAK BROOK,60523,31st Street and IL Rte. 83_OAK BROOK_60523,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,29-Jun-12,Culex,SP,UTR0845,GISSA,-87.95685,41.84269,IDPH,61,29-Jun-12,26,UTR0845 61,1
Y12P05191,203367,FOREST PRESERVE DISTRICT OF DUPAGE COUNTY,MMWN04,Mary Jane Lane,WOOD DALE,60191,Mary Jane Lane_WOOD DALE_60191,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,25-Jun-12,Culex,SP,UTR0943,GISSA,-87.97927,41.96472,IDPH,50,25-Jun-12,26,UTR0943 50,1
Y12P02889,201351,Desplaines Valley MAD,mp,1000 N. 25TH AVE.,MELROSE PARK,60160,1000 N. 25TH AVE._MELROSE PARK_60160,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,10-Jul-12,Culex,PIPIENS/RESTUANS,UTR0884,IDPH,-87.86557,41.89633,IDPH,dv336,24-Jun-12,26,UTR0884 dv336,2
